Designator,Footprint,Quantity,Value,LCSC Part #
2596-ADJ1,TO-263-5_TabPin3,1,REGULADOR ADJ,
C1,CP_Radial_D6.3mm_P2.50mm,1,470uf 35v,
C2,0603,1,C,
C3,CP_Radial_D6.3mm_P2.50mm,1,220UF,
D1,1206,1,LED,
D2,D_SMA,1,SS24,
D3,1206,1,LEDRELE,
D4,D_A-405_P7.62mm_Horizontal,1,1N5400,
"H2, H3, H4_2, H4",MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,4,MountingHole,
J1,TerminalBlock_Phoenix_MKDS-3-8-5.08_1x08_P5.08mm_Horizontal,1,Screw_Terminal_01x08,
J2,PinSocket_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
J3,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,VIN,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,
J5,TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal,1,Screw_Terminal_01x04,
K1,Relay_SPDT_Omron-G5LE-1,1,G5LE-1,
L1,L_Bourns-SRN1060,1,330,
Q1,SOT-23,1,2N7002H,
"R1, R2",0603,2,1K,
R3,0603,1,330,
R4,0805,1,1k,
R5,0805,1,10K,
SW1,SW_PUSH_6mm,1,SW_Push,
U1,SOIC-8W_5.3x5.3mm_P1.27mm,1,ATtiny85-20S,
