Designator,Mid X,Mid Y,Rotation,Layer
2596-ADJ1,194.4116,-147.2932,270.0,top
C1,205.8416,-148.52522,90.0,top
C2,206.0956,-138.1252,180.0,top
C3,214.0204,-129.32282,90.0,top
D1,191.4912,-134.2644,0.0,top
D2,196.4436,-130.9624,90.0,top
J2,213.9546,-151.0484,90.0,top
J3,223.1136,-145.4912,90.0,top
J4,184.51,-134.27,270.0,top
L1,204.6224,-131.0132,0.0,top
R1,191.4652,-130.9116,0.0,top
R2,206.0448,-141.3256,0.0,top
R3,206.248,-144.0688,180.0,top
SW1,221.8436,-129.6924,270.0,top
U1,213.0552,-141.5796,180.0,top
